date,station,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
1999-03-05T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,60.0,32.0,58.0
1999-03-06T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,58.0,38.0,53.0
1999-03-07T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,60.0,32.0,55.0
1999-03-08T00:00:00,GHCND:USC00048351,,,0.4,0.0,0.0,55.0,42.0,49.0
1999-03-09T00:00:00,GHCND:USC00048351,,,0.55,0.0,0.0,56.0,38.0,52.0
1999-03-10T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,55.0,35.0,53.0
1999-03-11T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,63.0,35.0,58.0
1999-03-12T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,66.0,33.0,63.0
1999-03-13T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,62.0,42.0,57.0
1999-03-14T00:00:00,GHCND:USC00048351,,,0.75,0.0,0.0,53.0,45.0,46.0
1999-03-15T00:00:00,GHCND:USC00048351,,,0.18,0.0,0.0,64.0,42.0,58.0
1999-03-16T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,63.0,39.0,60.0
1999-03-17T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,62.0,42.0,61.0
1999-03-18T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,61.0,39.0,57.0
1999-03-19T00:00:00,GHCND:USC00048351,,,0.36,0.0,0.0,59.0,46.0,49.0
1999-03-20T00:00:00,GHCND:USC00048351,,,0.08,0.0,0.0,62.0,44.0,60.0
1999-03-21T00:00:00,GHCND:USC00048351,,,0.02,0.0,0.0,60.0,43.0,58.0
1999-03-22T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,59.0,37.0,55.0
1999-03-23T00:00:00,GHCND:USC00048351,,,0.19,0.0,0.0,61.0,37.0,58.0
1999-03-24T00:00:00,GHCND:USC00048351,,,0.18,0.0,0.0,58.0,48.0,53.0
1999-03-25T00:00:00,GHCND:USC00048351,,,0.79,0.0,0.0,65.0,48.0,63.0
1999-03-26T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,66.0,46.0,63.0
1999-03-27T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,63.0,42.0,59.0
1999-03-28T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,65.0,39.0,60.0
1999-03-29T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,60.0,37.0,56.0
1999-03-30T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,58.0,32.0,55.0
1999-03-31T00:00:00,GHCND:USC00048351,,,0.31,0.0,0.0,56.0,33.0,53.0
1999-04-01T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,62.0,33.0,60.0
1999-04-02T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,69.0,41.0,64.0
1999-04-03T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,59.0,41.0,55.0
1999-04-04T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,64.0,40.0,62.0
1999-04-05T00:00:00,GHCND:USC00048351,,,0.36,0.0,0.0,55.0,43.0,55.0
1999-04-06T00:00:00,GHCND:USC00048351,,,0.05,0.0,0.0,58.0,37.0,57.0
1999-04-07T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,59.0,39.0,54.0
1999-04-08T00:00:00,GHCND:USC00048351,,,0.55,0.0,0.0,55.0,42.0,49.0
1999-04-09T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,60.0,31.0,56.0
1999-04-10T00:00:00,GHCND:USC00048351,,,0.2,0.0,0.0,57.0,38.0,47.0
1999-04-11T00:00:00,GHCND:USC00048351,,,1.46,0.0,0.0,57.0,44.0,56.0
1999-04-12T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,75.0,36.0,74.0
1999-04-13T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,74.0,37.0,72.0
1999-04-14T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,84.0,43.0,84.0
1999-04-15T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,87.0,53.0,84.0
1999-04-16T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,86.0,51.0,85.0
1999-04-17T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,85.0,49.0,83.0
1999-04-18T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,79.0,43.0,77.0
1999-04-19T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,80.0,44.0,78.0
1999-04-20T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,71.0,55.0,68.0
1999-04-21T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,70.0,50.0,65.0
1999-04-22T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,74.0,49.0,73.0
1999-04-23T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,79.0,60.0,77.0
1999-04-24T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,79.0,47.0,73.0
1999-04-25T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,62.0,51.0,59.0
1999-04-26T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,65.0,50.0,61.0
1999-04-27T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,62.0,36.0,60.0
1999-04-28T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,67.0,36.0,64.0
1999-04-29T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,75.0,52.0,70.0
1999-04-30T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,79.0,43.0,78.0
1999-05-01T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,76.0,44.0,64.0
1999-05-02T00:00:00,GHCND:USC00048351,,,0.05,0.0,0.0,58.0,46.0,57.0
1999-05-03T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,61.0,46.0,59.0
1999-05-04T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,66.0,44.0,65.0
1999-05-05T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,79.0,41.0,76.0
1999-05-06T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,70.0,43.0,67.0
1999-05-07T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,73.0,48.0,71.0
1999-05-08T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,72.0,44.0,69.0
1999-05-09T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,72.0,41.0,69.0
1999-05-10T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,73.0,41.0,70.0
1999-05-11T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,82.0,46.0,81.0
1999-05-12T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,75.0,46.0,72.0
1999-05-13T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,74.0,46.0,66.0
1999-05-14T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,67.0,45.0,63.0
1999-05-15T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,68.0,42.0,65.0
1999-05-16T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,75.0,39.0,69.0
1999-05-17T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,73.0,41.0,68.0
1999-05-18T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,69.0,50.0,65.0
1999-05-19T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,73.0,41.0,70.0
1999-05-20T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,69.0,45.0,69.0
1999-05-21T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,83.0,42.0,78.0
1999-05-22T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,82.0,50.0,80.0
1999-05-23T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,71.0,52.0,70.0
1999-05-24T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,73.0,53.0,69.0
1999-05-25T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,84.0,51.0,81.0
1999-05-26T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,78.0,49.0,75.0
1999-05-27T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,76.0,49.0,71.0
1999-05-28T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,74.0,47.0,69.0
1999-05-29T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,69.0,44.0,64.0
1999-05-30T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,70.0,45.0,69.0
1999-05-31T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,70.0,45.0,68.0
1999-06-01T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,65.0,51.0,60.0
1999-06-02T00:00:00,GHCND:USC00048351,,,0.0,0.0,0.0,65.0,50.0,61.0
1999-06-03T00:00:00,GHCND:USC00048351,,,0.03,0.0,0.0,67.0,44.0,63.0
